model,single_run_pct,majority_pct,majority_ci_lo,majority_ci_hi,majority_k,oracle_pct,oracle_ci_lo,oracle_ci_hi,oracle_k,oracle_gap,n
GPT-5.1,88.4,89.4,84.4,92.9,185,90.8,86.1,94.0,188,3,207
GPT-5-mini,84.7,84.5,79.0,88.8,175,86.5,81.1,90.5,179,4,207
Gemini 3.1 Pro,91.3,91.8,87.2,94.8,190,92.8,88.4,95.6,192,2,207
DeepSeek-R1,81.0,81.6,75.8,86.3,169,85.5,80.1,89.7,177,8,207
gpt-oss-20b (H),78.7,80.7,74.8,85.5,167,86.0,80.6,90.1,178,11,207
gpt-oss-120b (H),82.8,83.1,77.4,87.6,172,86.5,81.1,90.5,179,7,207
Qwen3.5 9B,75.8,76.3,70.1,81.6,158,79.7,73.7,84.6,165,7,207
Qwen3.5 27B,80.7,80.2,74.2,85.1,166,85.0,79.5,89.2,176,10,207
Qwen3.5 35B,84.4,84.1,78.5,88.4,174,86.5,81.1,90.5,179,5,207
Qwen3.5 35B FT,86.6,87.9,82.8,91.7,182,93.2,89.0,95.9,193,11,207
Gemma 4 31B,86.2,86.5,81.1,90.5,179,86.5,81.1,90.5,179,0,207
