6,Topic,Type,Question,GT,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,ds-r1-0528-v1,ds-r1-0528-v2,ds-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3
1.0,Glaucoma,Diagnosis,"Male, 35 years old, presents with decreased vision in the left eye accompanied by halos around lights for 2 days. Examination findings: Left eye visual acuity 0.6, intraocular pressure (IOP) measured by non-contact tonometry (NCT) 58 mmHg, corneal edema, multiple mutton-fat keratic precipitates (KP) distributed in a triangular pattern, peripheral anterior chamber depth approximately 1/2 corneal thickness (CT), aqueous flare (+), pupil round and approximately 3 mm in diameter with sluggish reaction to light. Fundus examination: cup-to-disc ratio (C/D) = 0.3. [Multiple-choice question] Possible diagnoses for this case include:

A. Primary open-angle glaucoma  
B. Primary angle-closure glaucoma  
C. Keratitis  
D. Posner-Schlossman syndrome 
E. Fuchs uveitis syndrome  
",D,D,D,D,D,D,D,D,D,D,BD,D,D,D,B,B,D,D,D,BDE,D,D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,D,D,D,D,D,D,D,D,D
2.0,Glaucoma,Management,"A 35-year-old male presents with decreased vision in the left eye accompanied by halos around lights for 2 days. Examination findings: Left eye visual acuity 0.6, intraocular pressure (IOP) measured by non-contact tonometry (NCT) 58 mmHg, corneal edema, multiple mutton-fat keratic precipitates (KP) arranged in a triangular pattern, peripheral anterior chamber depth approximately 1/2 corneal thickness, aqueous flare (+), round pupil with sluggish reaction to light (diameter ~3 mm), and fundus examination showing cup-to-disc ratio (C/D) = 0.3.  

**[Multiple Choice Question]**  
Which of the following management options is incorrect?  
A. Oral administration of acetazolamide  
B. Topical 0.5% timolol eye drops  
C. Chloramphenicol and dexamethasone (Chlor-Dex) eye drops  
D. 1% pilocarpine eye drops  
E. Oral vitamin B, vitamin C, and ibuprofen capsules  ",D,D,D,D,D,D,D,DE,DE,DE,D,DE,D,DE,D,DE,D,D,D,BASED,D,D,E,CE,E,CE,CE,CE,E,DE,E,E,E,E,E,DE,D,D,DE,E,D,D,D,E,E,D,D,D,D
3.0,Glaucoma,Management,"Male, 35 years old, presenting with decreased vision and halos around lights in the left eye for 2 days. Examination findings: Left eye visual acuity 0.6, intraocular pressure (IOP) measured by non-contact tonometry (NCT) 58 mmHg, corneal edema, multiple mutton-fat keratic precipitates (KPs) arranged in a triangular pattern, peripheral anterior chamber depth approximately 1/2 corneal thickness (CT), aqueous flare (+), round pupil with approximately 3 mm diameter showing sluggish light reaction. Fundus examination: cup-to-disc ratio (C/D) = 0.3. [Multiple-choice question (select all that apply)] Appropriate treatment includes:

A. Sole use of ocular hypotensive medications  
B. Clues administration of miotics  
C. Sole use of anti-inflammatory agents  
D. Combined therapy with ocular hypotensive and anti-inflammatory medications  
E. Long-term low-dose steroid maintenance to prevent recurrence  ",D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,DE,D,BDE,DE,BD,DE,BDE,BDE,BDE,D,D,D,BD,D,D,D,D,D,D,D,D,D,D,D,D,D,D
4.0,External Eye/Orbital Diseases,Diagnosis,"Female, 45 years old, presents with bilateral eyelid erythema/swelling and orbital pain persisting for half a month. Examination findings:  
- Visual acuity: OD 1.0, OS 1.0.  
- Both upper eyelids exhibit an S-shaped configuration with erythematous and edematous skin.  
- Tenderness localized to the lateral upper eyelids.  
- Swollen palpebral lobe of the lacrimal gland observed in the superotemporal fornix.  
- Lateral bulbar conjunctival hyperemia and edema (+).  
- Cornea transparent, fundus examination unremarkable.  
- Vital signs: Temperature 36.5°C, blood pressure 130/80 mmHg.  
- Medical history: Recent cold infection.  
- No enlargement of superficial lymph nodes.  

[Multiple-choice question]  
**The most likely diagnosis is**:  
A. Thyroid-associated orbitopathy  
B. Inflammatory orbital pseudotumor (IOPT) involving the lacrimal gland  
C. Infectious dacryoadenitis  
D. Granulomatosis with polyangiitis (Wegener’s granulomatosis)  
E. Pleomorphic adenoma of the lacrimal gland  
",B,B,B,B,B,B,B,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,C,C,C,C,B,C,C,B,B,A,C,B,B,C,B,B,B,B,C,C,B,C,C,B,C,C,C
5.0,External Eye/Orbital Diseases,Management,"Female, 45 years old, presents with bilateral eyelid swelling and orbital pain for half a month. Examination findings: Visual acuity OD 1.0, OS 1.0. Both upper eyelids exhibit an S-shaped curvature with erythematous and swollen skin. Tenderness localized to the lateral upper eyelids. Swollen palpebral lacrimal glands observed in the superotemporal fornix. Lateral bulbar conjunctival congestion and edema (+). Corneas transparent. Fundus examination unremarkable. Vital signs: temperature 36.5°C, blood pressure 130/80 mmHg. History of recent cold. No enlargement of superficial lymph nodes.  

[Multiple-choice Question] Further investigations required for definitive diagnosis include:  
A. Blood routine test + ocular ultrasound  
B. Orbital CT  
C. MRI  
D. Thyroid function tests  
E. Blood routine test  ",A,ABCE,ABC,AB,ABCE,ABCE,ABC,AB,AB,ABC,ABD,ABD,ABC,AB,AB,BC,ABC,A,AB,A,A,A,BE,E,A,BE,BC,BE,AB,BE,BC,BD,B,BD,BD,B,BE,BCDE,BD,BCD,B,A,A,D,B,C,BDE,B,ABCD
6.0,External Eye/Orbital Diseases,Management,"Female, 45 years old, presenting with bilateral eyelid swelling and orbital pain for half a month.  
**Examination:**  
- Visual acuity: OD 1.0, OS 1.0.  
- Both upper eyelids exhibit an S-shaped configuration with erythema and swelling.  
- Tenderness localized to the lateral portion of the upper eyelids.  
- Palpebral lobe of the lacrimal gland appears erythematous and swollen in the superotemporal fornix.  
- Lateral bulbar conjunctival hyperemia and chemosis (+).  
- Cornea transparent, fundus normal.  
- Vital signs: Temperature 36.5°C, blood pressure 130/80 mmHg.  
- History of recent upper respiratory tract infection.  
- No enlargement of superficial lymph nodes.  

**[Multiple Choice Question (MCQ)]**  
The most appropriate treatment regimen is:  
A. Corticosteroid therapy  
B. Radiation therapy  
C. Surgical intervention  
D. Antithyroid therapy  
E. Anti-infective therapy  ",A,E,A,A,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,A,A,E,E,E,E,E,E,E,E,E,E,E,A,E,A,E,E,A,E,A,E,A,E,E,E,E,E,E
7.0,Glaucoma,Management,"A 42-year-old male patient presented with mild ocular distension pain and blurred vision in the right eye 2 months after pterygium excision surgery. Examination findings: VA OD 0.8, VA OS 1.2. The right eye showed mild conjunctival injection, mild corneal stromal edema, peripheral anterior chamber depth approximately 1 corneal thickness (CT), and cup-to-disc ratio (C/D) 0.4 on fundus examination. The left eye demonstrated normal anterior segment and fundus C/D 0.4.
[Multiple Choice Question] Which additional ocular examinations are required for this patient?  
A. Refraction  
B. Intraocular pressure (IOP) measurement  
C. Gonioscopy  
D. Visual field testing  
E. Corneal A-scan pachymetry  ",BCDE,BCDE,BCDE,BCDE,BCD,BCD,BCD,BCD,BCDE,BCD,BCD,BCDE,BCD,BCDE,BCD,BCD,ABCDE,BCE,BCDE,BC,BC,BCE,BC,BC,BCE,BCDE,BCE,BCDE,BCE,BC,BC,BCE,BCE,BC,BCE,BCDE,BCDE,BCE,BCDE,BCDE,BC,BCE,BC,BC,BCD,BC,BCDE,BCDE,BCDE
8.0,Glaucoma,Diagnosis,"A 42-year-old male patient presented with mild distending pain and blurred vision in the right eye 2 months after pterygium excision surgery. Examination findings:  
- **Vod** 0.8, **Vos** 1.2.  
- Right eye: Mild conjunctival injection, mild corneal haze and edema, peripheral anterior chamber depth approximately 1 corneal thickness (CT), cup-to-disc ratio (**C/D**) 0.4.  
- Left eye: Normal anterior segment, **C/D** 0.4.  
[Multiple-choice question]  
The intraocular pressure (IOP) in the right eye is 38 mmHg, with gonioscopy revealing an open angle. Further history indicates continuous postoperative use of TobraDex (tobramycin/dexamethasone) eye drops. The most likely diagnosis is:  
A. Traumatic glaucoma  
B. Steroid-induced glaucoma  
C. Primary open-angle glaucoma (POAG)  
D. Primary angle-closure glaucoma (PACG)  
E. Glaucomatocyclitic crisis (Posner-Schlossman syndrome)  ",B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,E,B,B,B,B,B
9.0,Glaucoma,Management,"A 42-year-old male patient presented with mild distending pain and blurred vision in the right eye 2 months after pterygium excision surgery. Examination findings: BCVA OD 0.8, OS 1.2. The right eye exhibited mild conjunctival injection, mild corneal haze and edema, peripheral anterior chamber depth approximately 1 corneal thickness (CT), and a cup-to-disc ratio (C/D) of 0.4 on fundus examination. The left eye had normal anterior segment and a C/D of 0.4. Intraocular pressure (IOP) in the right eye was 38 mmHg, with gonioscopy revealing an open angle. Further history revealed continuous postoperative use of Tobradex eye drops (dexamethasone/tobramycin).

[Multiple-choice Questions]  
**After confirming the diagnosis, which of the following therapeutic measures should be prioritized?**  
A. Immediate trabeculectomy  
B. Discontinuation of Tobradex eye drops  
C. 0.5% Timolol eye drops  
D. Argon laser trabeculoplasty  
E. Azopt (carbonic anhydrase inhibitor) eye drops  ",BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,BCE,B,BCE,BCE,BCE,BC,BCE,B,BC,BC,B,B,B,B,B,B,BC,B,B,B,B,B,B,B,B,B,B,B
10.0,Retinal Diseases,Diagnosis,"Female, 32 years old. Complains of redness, pain, and blurred vision in the right eye for 1 week. History of herpes zoster (lumbar region) 1 month prior.  
**Ophthalmic Examination:**  
- Visual acuity: Right eye 0.4 (uncorrected); Left eye 1.2.  
- Right eye findings:  
  - Ciliary congestion.  
  - Mutton-fat keratic precipitates (KP) on corneal endothelium.  
  - Tydall’s phenomenon (positive).  
  - Pupils isochoric and round; lens clear.  
  - Moderate inflammatory cells present in the vitreous.  
- Fundus examination:  
  - Mild optic disc hyperemia with distinct margins.  
  - Mild retinal edema.  
  - Attenuated retinal arteries; peripheral and mid-peripheral arteries exhibit white thread-like appearance with sheathing.  
  - Patchy yellow-white exudates and scattered dot/patchy hemorrhages in the peripheral retina.  

**[Multiple-choice Questions]**  
**The most likely diagnosis for this patient is:**  
A. Behcet's syndrome  
B. Acute retinal necrosis  
C. Toxoplasmic chorioretinitis  
D. Panuveitis  
E. Pars planitis  
F. Collagen vascular disease  ",B,B,B,B,B,B,B,B,B,B,BD,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,B,D,D,D,D,D,D,B,EH,B,B,B,B,B,D,B,B
