Category,Count,GPT-5,o4-mini,DeepSeek-R1,gpt-oss-20b (L),gpt-oss-20b (M),gpt-oss-20b (H),gpt-oss-120b (L),gpt-oss-120b (M),gpt-oss-120b (H),finetuned-gpt-oss-20b (M),,,,,,,,,,,,,,,
Musculoskeletal system,47.0,87.2 (74.8-94.0),85.1 (72.3-92.6),87.2 (74.8-94.0),80.9 (67.5-89.6),85.1 (72.3-92.6),87.2 (74.8-94.0),89.4 (77.4-95.4),83.0 (69.9-91.1),85.1 (72.3-92.6),91.5 (80.1-96.6),,,,,,,,,,,,,,,
Cardiovascular,6.0,83.3 (43.6-97.0),83.3 (43.6-97.0),66.7 (30.0-90.3),50.0 (18.8-81.2),50.0 (18.8-81.2),50.0 (18.8-81.2),66.7 (30.0-90.3),66.7 (30.0-90.3),66.7 (30.0-90.3),83.3 (43.6-97.0),,,,,,,,,,,,,,,
Abdominal imaging,36.0,94.4 (81.9-98.5),83.3 (43.6-97.0),75.0 (58.9-86.2),63.9 (47.6-77.5),66.7 (50.3-79.8),80.6 (65.0-90.2),86.1 (71.3-93.9),83.3 (68.1-92.1),83.3 (68.1-92.1),86.1 (71.3-93.9),,,,,,,,,,,,,,,
Uroradiology & genital male imaging,10.0,100.0 (72.2-100.0),86.1 (71.3-93.9),100.0 (72.2-100.0),80.0 (49.0-94.3),90.0 (59.6-98.2),100.0 (72.2-100.0),90.0 (59.6-98.2),100.0 (72.2-100.0),90.0 (59.6-98.2),100.0 (72.2-100.0),,,,,,,,,,,,,,,
Neuroradiology,41.0,85.4 (71.6-93.1),82.9 (68.7-91.5),85.4 (71.6-93.1),82.9 (68.7-91.5),82.9 (68.7-91.5),85.4 (71.6-93.1),82.9 (68.7-91.5),80.5 (66.0-89.8),85.4 (71.6-93.1),87.8 (74.5-94.7),,,,,,,,,,,,,,,
Paediatric radiology,30.0,83.3 (66.4-92.7),76.7 (59.1-88.2),73.3 (55.6-85.8),73.3 (55.6-85.8),76.7 (59.1-88.2),70.0 (52.1-83.3),76.7 (59.1-88.2),73.3 (55.6-85.8),80.0 (62.7-90.5),73.3 (55.6-85.8),,,,,,,,,,,,,,,
Head & neck imaging,13.0,100.0 (77.2-100.0),100.0 (77.2-100.0),84.6 (57.8-95.7),84.6 (57.8-95.7),84.6 (57.8-95.7),92.3 (66.7-98.6),100.0 (77.2-100.0),76.9 (49.7-91.8),92.3 (66.7-98.6),92.3 (66.7-98.6),,,,,,,,,,,,,,,
Breast imaging,5.0,100.0 (56.6-100.0),80.0 (37.6-96.4),80.0 (37.6-96.4),40.0 (11.8-76.9),40.0 (11.8-76.9),40.0 (11.8-76.9),60.0 (23.1-88.2),60.0 (23.1-88.2),60.0 (23.1-88.2),80.0 (37.6-96.4),,,,,,,,,,,,,,,
Chest imaging,11.0,90.9 (62.3-98.4),81.8 (52.3-94.9),81.8 (52.3-94.9),72.7 (43.4-90.3),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),90.9 (62.3-98.4),,,,,,,,,,,,,,,
Others,8.0,75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),62.5 (30.6-86.3),62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),75.0 (40.9-92.9),,,,,,,,,,,,,,,
Macro Average w/ Boostrap CI,,90.5 (85.6-94.9),85.2 (78.7-91.0),82.3 (75.4-88.7),71.4 (63.9-78.9),74.1 (66.7-81.4),76.8 (69.7-83.5),82.3 (74.9-88.9),79.7 (72.4-86.3),72.4 (65.2-79.1),87.0 (80.7-92.3),,,,,,,,,,,,,,,
Micro Average SC w/ Wald,,88.9 (84.6-93.2),84.1 (79.1-89.0),81.6 (76.4-86.9),74.4 (68.5-80.3),77.3 (71.6-83.0),80.7 (75.3-86.1),84.1 (79.1-89.0),80.2 (74.8-85.6),82.6 (77.4-87.8),86.5 (81.8-91.1),,,,,,,,,,,,,,,
Micro Average SC w/ Wilson,,88.9 (83.9-92.5),84.1 (78.5-88.4),81.6 (75.8-86.3),74.4 (68.0-79.9),77.3 (71.1-82.5),80.7 (74.8-85.5),84.1 (78.5-88.4),80.2 (74.2-85.1),82.6 (76.9-87.2),86.5 (81.1-90.5),,,,,,,,,,,,,,,
Simple Average,,0.8857,0.8293,0.81,0.7327,0.744,0.7858,0.8132,0.8148,0.8245,0.8615136876006441,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-5,88.9 (83.9-92.5),,,,,,,,,,,,,,,,,,,,,,,,,
GPT-o4-mini,84.1 (78.5-88.4),,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1,81.6 (75.8-86.3),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (L),74.4 (68.0-79.9),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (M),77.3 (71.1-82.5),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (H),80.7 (74.8-85.5),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (L),84.1 (78.5-88.4),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (M),80.2 (74.2-85.1),,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (H),82.6 (76.9-87.2),,,,,,,,,,,,,,,,,,,,,,,,,
finetuned-gpt-oss-20b (L),86.5 (81.1-90.5),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Count,Macro Average,Micro Average,,,,,,,,,,,,,,,,,,,,,,,
Musculoskeletal system,47.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiovascular,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
Abdominal imaging,36.0,,,,,,,,,,,,,,,,,,,,,,,,,
Uroradiology & genital male imaging,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
Neuroradiology,41.0,,,,,,,,,,,,,,,,,,,,,,,,,
