,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,qwen3.5 9B v,gpt5-0807-m,qwen3.5 27B v,gpt-5.1-1113-m,gpt-5-mini-0807-m,qwen3.5 35B v,o4-mini-m,ds-r1-0528-v,gemini-3.1-pro-m,,oss20b (L) v,oss20b (M) v,oss20b (H) v,,oss120b (L) v,oss120b (H) v,oss120b (M) v,gpt-5-mini-0807-m,
,,,,,,,,,,,,,,,,,,,,
Type,Topic,qwen3.5 9b,GPT-5,qwen3.5 27b,gpt-5.1-1113,gpt-5-mini-0807,qwen3.5 35b,GPT-4o-mini,DeepSeek-R1,gemini-3.1-pro,,oss20b (L),oss20b (M),oss20b (H),,oss120b (L),oss120b (H),oss120b (M),gpt-5-mini-0807,
Diagnosis,Glaucoma,100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),No Data,100.0 (64.6-100.0),85.7 (48.7-97.4),100.0 (64.6-100.0),100.0 (64.6-100.0),,No Data,85.7 (48.7-97.4),85.7 (48.7-97.4),#REF!,85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),100.0 (64.6-100.0),
Diagnosis,External Eye/Orbital Diseases,70.0 (39.7-89.2),80.0 (49.0-94.3),70.0 (39.7-89.2),90.0 (59.6-98.2),No Data,70.0 (39.7-89.2),80.0 (49.0-94.3),90.0 (59.6-98.2),90.0 (59.6-98.2),,No Data,70.0 (39.7-89.2),80.0 (49.0-94.3),#REF!,70.0 (39.7-89.2),80.0 (49.0-94.3),80.0 (49.0-94.3),80.0 (49.0-94.3),
Diagnosis,Retinal Diseases,66.7 (20.8-93.9),100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),No Data,100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),,No Data,66.7 (20.8-93.9),66.7 (20.8-93.9),#REF!,100.0 (43.8-100.0),66.7 (20.8-93.9),66.7 (20.8-93.9),100.0 (43.8-100.0),
Diagnosis,Anterior Segment Diseases,75.0 (40.9-92.9),62.5 (30.6-86.3),87.5 (52.9-97.8),50.0 (21.5-78.5),No Data,75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),,No Data,62.5 (30.6-86.3),62.5 (30.6-86.3),#REF!,75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),
