Type,Topic,GPT-5,GPT-4o-mini,DeepSeek-R1,oss20b (L),oss20b (M),oss20b (H),oss120b (L),oss120b (M),oss120b (H),,,,,,,,,,,,,,,
Diagnosis,Glaucoma,100.0 (64.6-100.0),85.7 (48.7-97.4),100.0 (64.6-100.0),71.4 (35.9-91.8),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),,,,,,,,,,,,,,,
Diagnosis,External Eye/Orbital Diseases,80.0 (49.0-94.3),80.0 (49.0-94.3),90.0 (59.6-98.2),70.0 (39.7-89.2),70.0 (39.7-89.2),80.0 (49.0-94.3),70.0 (39.7-89.2),80.0 (49.0-94.3),80.0 (49.0-94.3),,,,,,,,,,,,,,,
Diagnosis,Retinal Diseases,100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),66.7 (20.8-93.9),66.7 (20.8-93.9),66.7 (20.8-93.9),100.0 (43.8-100.0),66.7 (20.8-93.9),66.7 (20.8-93.9),,,,,,,,,,,,,,,
Diagnosis,Anterior Segment Diseases,62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),62.5 (30.6-86.3),62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),,,,,,,,,,,,,,,
Diagnosis,Ocular Trauma,100.0 (61.0-100.0),83.3 (43.6-97.0),100.0 (61.0-100.0),83.3 (43.6-97.0),66.7 (30.0-90.3),83.3 (43.6-97.0),83.3 (43.6-97.0),100.0 (61.0-100.0),83.3 (43.6-97.0),,,,,,,,,,,,,,,
Diagnosis,Refractive Disorders/Strabismus,100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),,,,,,,,,,,,,,,
Management,Glaucoma,78.6 (52.4-92.4),64.3 (38.8-83.7),71.4 (45.4-88.3),50.0 (26.8-73.2),64.3 (38.8-83.7),50.0 (26.8-73.2),71.4 (45.4-88.3),78.6 (52.4-92.4),64.3 (38.8-83.7),,,,,,,,,,,,,,,
Management,External Eye/Orbital Diseases,78.6 (52.4-92.4),64.3 (38.8-83.7),78.6 (52.4-92.4),57.1 (32.6-78.6),71.4 (45.4-88.3),64.3 (38.8-83.7),71.4 (45.4-88.3),71.4 (45.4-88.3),71.4 (45.4-88.3),,,,,,,,,,,,,,,
Management,Retinal Diseases,37.5 (13.7-69.4),37.5 (13.7-69.4),37.5 (13.7-69.4),12.5 (2.2-47.1),25.0 (7.1-59.1),37.5 (13.7-69.4),50.0 (21.5-78.5),37.5 (13.7-69.4),37.5 (13.7-69.4),,,,,,,,,,,,,,,
Management,Anterior Segment Diseases,70.6 (46.9-86.7),64.7 (41.3-82.7),70.6 (46.9-86.7),76.5 (52.7-90.4),64.7 (41.3-82.7),76.5 (52.7-90.4),70.6 (46.9-86.7),76.5 (52.7-90.4),70.6 (46.9-86.7),,,,,,,,,,,,,,,
Management,Ocular Trauma,57.7 (38.9-74.5),69.2 (50.0-83.5),76.9 (57.9-89.0),42.3 (25.5-61.1),57.7 (38.9-74.5),50.0 (32.1-67.9),65.4 (46.2-80.6),76.9 (57.9-89.0),57.7 (38.9-74.5),,,,,,,,,,,,,,,
Management,Refractive Disorders/Strabismus,83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),66.7 (39.1-86.2),58.3 (32.0-80.7),83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),83.3 (55.2-95.3),,,,,,,,,,,,,,,
Average Diagnosis ,,87.2 (73.3-94.4),84.6 (70.3-92.8),92.3 (79.7-97.3),74.4 (58.9-85.4),74.4 (58.9-85.4),79.5 (64.5-89.2),82.1 (67.3-91.0),84.6 (70.3-92.8),82.1 (67.3-91.0),,,,,,,,,,,,,,,
Average Management ,,68.1 (58.0-76.8),65.9 (55.7-74.8),73.6 (63.7-81.6),52.7 (42.6-62.7),59.3 (49.1-68.9),60.4 (50.2-69.9),69.2 (59.1-77.8),74.7 (64.9-82.5),64.8 (54.6-73.9),,,,,,,,,,,,,,,
Average of Manag and DIag Weighted,,73.8,71.5,79.2,59.2,63.8,66.1,73.1,77.7,70.0,,,,,,,,,,,,,,,
Average All Data,,73.8 (65.7-80.6),71.5 (63.3-78.6),79.2 (71.5-85.3),59.2 (50.6-67.3),63.8 (55.3-71.6),66.2 (57.7-73.7),73.1 (64.9-80.0),77.7 (69.8-84.0),70.0 (61.6-77.2),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,gpt5-0807-m,o4-mini-m,ds-r1-0528-v,oss20b (L) v,oss20b (M) v,oss20b (H) v,oss120b (L) v,oss120b (M) v,oss120b (H) v,qwen3.5 35B v,qwen3.5 9B v,qwen3.5 27B v,gemini-3.1-pro-m,gpt-5.1-1113-m,gpt-5-mini-0807-m,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Topic,GPT-5,GPT-4o-mini,DeepSeek-R1,oss20b (L),oss20b (M),oss20b (H),oss120b (L),oss120b (M),oss120b (H),qwen3.5 35b,qwen3.5 9b,qwen3.5 27b,gemini-3.1-pro,gpt-5.1-1113,gpt-5-mini-0807,,,,,,,,,
Diagnosis,Glaucoma,100.0 (64.6-100.0),85.7 (48.7-97.4),100.0 (64.6-100.0),71.4 (35.9-91.8),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),,,,,,,,,
Diagnosis,External Eye/Orbital Diseases,80.0 (49.0-94.3),80.0 (49.0-94.3),90.0 (59.6-98.2),70.0 (39.7-89.2),70.0 (39.7-89.2),80.0 (49.0-94.3),70.0 (39.7-89.2),80.0 (49.0-94.3),80.0 (49.0-94.3),70.0 (39.7-89.2),70.0 (39.7-89.2),70.0 (39.7-89.2),90.0 (59.6-98.2),90.0 (59.6-98.2),80.0 (49.0-94.3),,,,,,,,,
Diagnosis,Retinal Diseases,100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),66.7 (20.8-93.9),66.7 (20.8-93.9),66.7 (20.8-93.9),100.0 (43.8-100.0),66.7 (20.8-93.9),66.7 (20.8-93.9),100.0 (43.8-100.0),66.7 (20.8-93.9),100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),100.0 (43.8-100.0),,,,,,,,,
Diagnosis,Anterior Segment Diseases,62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),62.5 (30.6-86.3),62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),87.5 (52.9-97.8),75.0 (40.9-92.9),50.0 (21.5-78.5),75.0 (40.9-92.9),,,,,,,,,
Diagnosis,Ocular Trauma,100.0 (61.0-100.0),83.3 (43.6-97.0),100.0 (61.0-100.0),83.3 (43.6-97.0),66.7 (30.0-90.3),83.3 (43.6-97.0),83.3 (43.6-97.0),100.0 (61.0-100.0),83.3 (43.6-97.0),100.0 (61.0-100.0),83.3 (43.6-97.0),100.0 (61.0-100.0),100.0 (61.0-100.0),100.0 (61.0-100.0),83.3 (43.6-97.0),,,,,,,,,
Diagnosis,Refractive Disorders/Strabismus,100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),100.0 (56.6-100.0),,,,,,,,,
Management,Glaucoma,78.6 (52.4-92.4),64.3 (38.8-83.7),71.4 (45.4-88.3),50.0 (26.8-73.2),64.3 (38.8-83.7),50.0 (26.8-73.2),71.4 (45.4-88.3),78.6 (52.4-92.4),64.3 (38.8-83.7),85.7 (60.1-96.0),64.3 (38.8-83.7),85.7 (60.1-96.0),85.7 (60.1-96.0),85.7 (60.1-96.0),64.3 (38.8-83.7),,,,,,,,,
Management,External Eye/Orbital Diseases,78.6 (52.4-92.4),64.3 (38.8-83.7),78.6 (52.4-92.4),57.1 (32.6-78.6),71.4 (45.4-88.3),64.3 (38.8-83.7),71.4 (45.4-88.3),71.4 (45.4-88.3),71.4 (45.4-88.3),92.9 (68.5-98.7),78.6 (52.4-92.4),71.4 (45.4-88.3),64.3 (38.8-83.7),71.4 (45.4-88.3),57.1 (32.6-78.6),,,,,,,,,
Management,Retinal Diseases,37.5 (13.7-69.4),37.5 (13.7-69.4),37.5 (13.7-69.4),12.5 (2.2-47.1),25.0 (7.1-59.1),37.5 (13.7-69.4),50.0 (21.5-78.5),37.5 (13.7-69.4),37.5 (13.7-69.4),37.5 (13.7-69.4),37.5 (13.7-69.4),25.0 (7.1-59.1),37.5 (13.7-69.4),37.5 (13.7-69.4),25.0 (7.1-59.1),,,,,,,,,
Management,Anterior Segment Diseases,70.6 (46.9-86.7),64.7 (41.3-82.7),70.6 (46.9-86.7),76.5 (52.7-90.4),64.7 (41.3-82.7),76.5 (52.7-90.4),70.6 (46.9-86.7),76.5 (52.7-90.4),70.6 (46.9-86.7),64.7 (41.3-82.7),58.8 (36.0-78.4),64.7 (41.3-82.7),82.4 (59.0-93.8),82.4 (59.0-93.8),64.7 (41.3-82.7),,,,,,,,,
Management,Ocular Trauma,57.7 (38.9-74.5),69.2 (50.0-83.5),76.9 (57.9-89.0),42.3 (25.5-61.1),57.7 (38.9-74.5),50.0 (32.1-67.9),65.4 (46.2-80.6),76.9 (57.9-89.0),57.7 (38.9-74.5),57.7 (38.9-74.5),57.7 (38.9-74.5),61.5 (42.5-77.6),65.4 (46.2-80.6),65.4 (46.2-80.6),57.7 (38.9-74.5),,,,,,,,,
Management,Refractive Disorders/Strabismus,83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),66.7 (39.1-86.2),58.3 (32.0-80.7),83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),91.7 (64.6-98.5),91.7 (64.6-98.5),83.3 (55.2-95.3),75.0 (46.8-91.1),,,,,,,,,
Average Diagnosis ,,87.2 (73.3-94.4),84.6 (70.3-92.8),92.3 (79.7-97.3),74.4 (58.9-85.4),74.4 (58.9-85.4),79.5 (64.5-89.2),82.1 (67.3-91.0),84.6 (70.3-92.8),82.1 (67.3-91.0),87.2 (73.3-94.4),82.1 (67.3-91.0),89.7 (76.4-95.9),92.3 (79.7-97.3),87.2 (73.3-94.4),87.2 (73.3-94.4),,,,,,,,,
Average Management ,,68.1 (58.0-76.8),65.9 (55.7-74.8),73.6 (63.7-81.6),52.7 (42.6-62.7),59.3 (49.1-68.9),60.4 (50.2-69.9),69.2 (59.1-77.8),74.7 (64.9-82.5),64.8 (54.6-73.9),70.3 (60.3-78.7),64.8 (54.6-73.9),68.1 (58.0-76.8),72.5 (62.6-80.6),72.5 (62.6-80.6),59.3 (49.1-68.9),,,,,,,,,
Average of Manag and DIag Weighted,,73.8,71.5,79.2,59.2,63.8,66.1,73.1,77.7,70.0,75.4,70.0,74.6,78.4,76.9,67.7,,,,,,,,,
