Category,GPT-5.2_acc,GPT-5.2_ci,GPT-5.2_k,GPT-5.2_n,GPT-5-mini_acc,GPT-5-mini_ci,GPT-5-mini_k,GPT-5-mini_n,Gemini 3.1 Pro_acc,Gemini 3.1 Pro_ci,Gemini 3.1 Pro_k,Gemini 3.1 Pro_n,DeepSeek-R1_acc,DeepSeek-R1_ci,DeepSeek-R1_k,DeepSeek-R1_n,gpt-oss-20b (L)_acc,gpt-oss-20b (L)_ci,gpt-oss-20b (L)_k,gpt-oss-20b (L)_n,gpt-oss-20b (M)_acc,gpt-oss-20b (M)_ci,gpt-oss-20b (M)_k,gpt-oss-20b (M)_n,gpt-oss-20b (H)_acc,gpt-oss-20b (H)_ci,gpt-oss-20b (H)_k,gpt-oss-20b (H)_n,gpt-oss-120b (L)_acc,gpt-oss-120b (L)_ci,gpt-oss-120b (L)_k,gpt-oss-120b (L)_n,gpt-oss-120b (M)_acc,gpt-oss-120b (M)_ci,gpt-oss-120b (M)_k,gpt-oss-120b (M)_n,gpt-oss-120b (H)_acc,gpt-oss-120b (H)_ci,gpt-oss-120b (H)_k,gpt-oss-120b (H)_n,Qwen3.5 35B_acc,Qwen3.5 35B_ci,Qwen3.5 35B_k,Qwen3.5 35B_n,Qwen3.5 27B_acc,Qwen3.5 27B_ci,Qwen3.5 27B_k,Qwen3.5 27B_n,Qwen3.5 9B_acc,Qwen3.5 9B_ci,Qwen3.5 9B_k,Qwen3.5 9B_n,Qwen3.5 35B FT_acc,Qwen3.5 35B FT_ci,Qwen3.5 35B FT_k,Qwen3.5 35B FT_n,Qwen3.5 9B FT_acc,Qwen3.5 9B FT_ci,Qwen3.5 9B FT_k,Qwen3.5 9B FT_n,GPT-5_acc,GPT-5_ci,GPT-5_k,GPT-5_n,o4-mini_acc,o4-mini_ci,o4-mini_k,o4-mini_n,GPT-5.1_acc,GPT-5.1_ci,GPT-5.1_k,GPT-5.1_n
Musculoskeletal,87.2,87.2 (74.8--94.0),41,47,83.0,83.0 (69.9--91.1),39,47,87.2,87.2 (74.8--94.0),41,47,87.2,87.2 (74.8--94.0),41,47,80.9,80.9 (67.5--89.6),38,47,85.1,85.1 (72.3--92.6),40,47,87.2,87.2 (74.8--94.0),41,47,89.4,89.4 (77.4--95.4),42,47,83.0,83.0 (69.9--91.1),39,47,85.1,85.1 (72.3--92.6),40,47,72.3,72.3 (58.2--83.1),34,47,74.5,74.5 (60.5--84.7),35,47,76.6,76.6 (62.8--86.4),36,47,76.6,76.6 (62.8--86.4),36,47,68.1,68.1 (53.8--79.6),32,47,87.2,87.2 (74.8--94.0),41,47,85.1,85.1 (72.3--92.6),40,47,87.2,87.2 (74.8--94.0),41,47
Cardiovascular,100.0,100.0 (61.0--100.0),6,6,83.3,83.3 (43.6--97.0),5,6,83.3,83.3 (43.6--97.0),5,6,66.7,66.7 (30.0--90.3),4,6,50.0,50.0 (18.8--81.2),3,6,50.0,50.0 (18.8--81.2),3,6,50.0,50.0 (18.8--81.2),3,6,66.7,66.7 (30.0--90.3),4,6,66.7,66.7 (30.0--90.3),4,6,66.7,66.7 (30.0--90.3),4,6,50.0,50.0 (18.8--81.2),3,6,50.0,50.0 (18.8--81.2),3,6,66.7,66.7 (30.0--90.3),4,6,66.7,66.7 (30.0--90.3),4,6,66.7,66.7 (30.0--90.3),4,6,83.3,83.3 (43.6--97.0),5,6,83.3,83.3 (43.6--97.0),5,6,100.0,100.0 (61.0--100.0),6,6
Abdominal,94.4,94.4 (81.9--98.5),34,36,88.9,88.9 (74.7--95.6),32,36,97.2,97.2 (85.8--99.5),35,36,75.0,75.0 (58.9--86.2),27,36,63.9,63.9 (47.6--77.5),23,36,66.7,66.7 (50.3--79.8),24,36,80.6,80.6 (65.0--90.2),29,36,86.1,86.1 (71.3--93.9),31,36,83.3,83.3 (68.1--92.1),30,36,83.3,83.3 (68.1--92.1),30,36,72.2,72.2 (56.0--84.2),26,36,80.6,80.6 (65.0--90.2),29,36,69.4,69.4 (53.1--82.0),25,36,75.0,75.0 (58.9--86.2),27,36,72.2,72.2 (56.0--84.2),26,36,94.4,94.4 (81.9--98.5),34,36,86.1,86.1 (71.3--93.9),31,36,88.9,88.9 (74.7--95.6),32,36
Uroradiology,100.0,100.0 (72.2--100.0),10,10,90.0,90.0 (59.6--98.2),9,10,100.0,100.0 (72.2--100.0),10,10,100.0,100.0 (72.2--100.0),10,10,80.0,80.0 (49.0--94.3),8,10,90.0,90.0 (59.6--98.2),9,10,100.0,100.0 (72.2--100.0),10,10,90.0,90.0 (59.6--98.2),9,10,100.0,100.0 (72.2--100.0),10,10,90.0,90.0 (59.6--98.2),9,10,80.0,80.0 (49.0--94.3),8,10,80.0,80.0 (49.0--94.3),8,10,90.0,90.0 (59.6--98.2),9,10,70.0,70.0 (39.7--89.2),7,10,80.0,80.0 (49.0--94.3),8,10,100.0,100.0 (72.2--100.0),10,10,90.0,90.0 (59.6--98.2),9,10,100.0,100.0 (72.2--100.0),10,10
Neuroradiology,87.8,87.8 (74.5--94.7),36,41,82.9,82.9 (68.7--91.5),34,41,87.8,87.8 (74.5--94.7),36,41,85.4,85.4 (71.6--93.1),35,41,82.9,82.9 (68.7--91.5),34,41,82.9,82.9 (68.7--91.5),34,41,85.4,85.4 (71.6--93.1),35,41,82.9,82.9 (68.7--91.5),34,41,80.5,80.5 (66.0--89.8),33,41,85.4,85.4 (71.6--93.1),35,41,56.1,56.1 (41.0--70.1),23,41,61.0,61.0 (45.7--74.3),25,41,53.7,53.7 (38.7--67.9),22,41,58.5,58.5 (43.4--72.2),24,41,61.0,61.0 (45.7--74.3),25,41,85.4,85.4 (71.6--93.1),35,41,82.9,82.9 (68.7--91.5),34,41,87.8,87.8 (74.5--94.7),36,41
Paediatric,90.0,90.0 (74.4--96.5),27,30,80.0,80.0 (62.7--90.5),24,30,93.3,93.3 (78.7--98.2),28,30,73.3,73.3 (55.6--85.8),22,30,73.3,73.3 (55.6--85.8),22,30,76.7,76.7 (59.1--88.2),23,30,70.0,70.0 (52.1--83.3),21,30,76.7,76.7 (59.1--88.2),23,30,73.3,73.3 (55.6--85.8),22,30,80.0,80.0 (62.7--90.5),24,30,50.0,50.0 (33.2--66.8),15,30,70.0,70.0 (52.1--83.3),21,30,63.3,63.3 (45.5--78.1),19,30,60.0,60.0 (42.3--75.4),18,30,53.3,53.3 (36.1--69.8),16,30,83.3,83.3 (66.4--92.7),25,30,76.7,76.7 (59.1--88.2),23,30,86.7,86.7 (70.3--94.7),26,30
Head & neck,100.0,100.0 (77.2--100.0),13,13,100.0,100.0 (77.2--100.0),13,13,100.0,100.0 (77.2--100.0),13,13,84.6,84.6 (57.8--95.7),11,13,84.6,84.6 (57.8--95.7),11,13,84.6,84.6 (57.8--95.7),11,13,92.3,92.3 (66.7--98.6),12,13,100.0,100.0 (77.2--100.0),13,13,76.9,76.9 (49.7--91.8),10,13,92.3,92.3 (66.7--98.6),12,13,84.6,84.6 (57.8--95.7),11,13,84.6,84.6 (57.8--95.7),11,13,76.9,76.9 (49.7--91.8),10,13,84.6,84.6 (57.8--95.7),11,13,76.9,76.9 (49.7--91.8),10,13,100.0,100.0 (77.2--100.0),13,13,100.0,100.0 (77.2--100.0),13,13,100.0,100.0 (77.2--100.0),13,13
Breast,100.0,100.0 (56.6--100.0),5,5,80.0,80.0 (37.6--96.4),4,5,100.0,100.0 (56.6--100.0),5,5,80.0,80.0 (37.6--96.4),4,5,40.0,40.0 (11.8--76.9),2,5,40.0,40.0 (11.8--76.9),2,5,40.0,40.0 (11.8--76.9),2,5,60.0,60.0 (23.1--88.2),3,5,60.0,60.0 (23.1--88.2),3,5,60.0,60.0 (23.1--88.2),3,5,60.0,60.0 (23.1--88.2),3,5,80.0,80.0 (37.6--96.4),4,5,60.0,60.0 (23.1--88.2),3,5,60.0,60.0 (23.1--88.2),3,5,60.0,60.0 (23.1--88.2),3,5,100.0,100.0 (56.6--100.0),5,5,80.0,80.0 (37.6--96.4),4,5,100.0,100.0 (56.6--100.0),5,5
Chest,90.9,90.9 (62.3--98.4),10,11,81.8,81.8 (52.3--94.9),9,11,100.0,100.0 (74.1--100.0),11,11,81.8,81.8 (52.3--94.9),9,11,72.7,72.7 (43.4--90.3),8,11,81.8,81.8 (52.3--94.9),9,11,81.8,81.8 (52.3--94.9),9,11,81.8,81.8 (52.3--94.9),9,11,81.8,81.8 (52.3--94.9),9,11,81.8,81.8 (52.3--94.9),9,11,63.6,63.6 (35.4--84.8),7,11,63.6,63.6 (35.4--84.8),7,11,63.6,63.6 (35.4--84.8),7,11,81.8,81.8 (52.3--94.9),9,11,72.7,72.7 (43.4--90.3),8,11,90.9,90.9 (62.3--98.4),10,11,81.8,81.8 (52.3--94.9),9,11,90.9,90.9 (62.3--98.4),10,11
Others,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8,62.5,62.5 (30.6--86.3),5,8,62.5,62.5 (30.6--86.3),5,8,62.5,62.5 (30.6--86.3),5,8,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8,62.5,62.5 (30.6--86.3),5,8,50.0,50.0 (21.5--78.5),4,8,62.5,62.5 (30.6--86.3),5,8,62.5,62.5 (30.6--86.3),5,8,37.5,37.5 (13.7--69.4),3,8,37.5,37.5 (13.7--69.4),3,8,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8,75.0,75.0 (40.9--92.9),6,8
