Self-Consistency (Majority Vote),,,,,,,,,,,,,,,,,,,,,,,,,,
Models,Eurorad-Accuracy w/ CI,Ophthalmology Accuracy w/ CI,NMED Treatment MEDIAN (SC) + 95% CI,NMED Diagnosis MEDIAN (SC) + 95% CI,admin,,,,,,,,,,,,,,,,,,,,,
GPT-5,88.9 (84.6-93.2),73.8 (66.3-81.4),0.67 (0.61-0.73),0.72 (0.67-0.78),Alif,,,,,,,,,,,,,,,,,,,,,
GPT-o4-mini,84.1 (79.1-89.0),71.5 (63.8-79.3),0.60 (0.55-0.66),1.19 (1.11-1.26),Alif,,,"MAE: 91.3%, interquartile range (IQR): 81.2–95.1%)",,,,,,,,,,,,,,,,,,
DeepSeek-R1,81.6 (76.4-86.9),79.2 (72.3-86.2),0.56 (0.51-0.60),0.58 (0.53-0.62),Alif,,,0.69 (95% CI 0.63–0.74),0.63 (95% CI 0.58–0.69),0.57 (95% CI 0.52–0.62),0.77 (95% CI 0.71–0.83),0.77 (95% CI 0.71–0.83),0.76 (95% CI 0.70–0.83),0.76 (95% CI 0.69–0.83),0.79 (95% CI 0.72–0.86),0.76 (95% CI 0.69–0.83),,,,,,,,,,
gpt-oss-20b (L),74.4 (68.5-80.3),59.2 (50.8-67.7),0.58 (0.53-0.63),0.64 (0.58-0.70),Alif,,,0.77 (95% CI 0.71–0.82),1.18 (95% CI 1.10–1.26),0.64 (95% CI 0.59–0.69),0.69 (95% CI 0.63–0.75),0.69 (95% CI 0.63–0.75),0.70 (95% CI 0.64–0.76),0.75 (95% CI 0.68–0.81),0.73 (95% CI 0.66–0.80),0.73 (95% CI 0.66–0.79),,,,,,,,,,
gpt-oss-20b (M),77.3 (71.6-83.0),63.8 (55.6-72.1),0.59 (0.54-0.64),0.67 (0.61-0.73),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (H),80.7 (75.3-86.1),66.2 (58.0-74.3),0.58 (0.53-0.63),0.65 (0.59-0.71),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (L),84.1 (79.1-89.0),73.1 (65.5-80.7),0.58 (0.53-0.63),0.70 (0.63-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (M),80.2 (74.8-85.6),77.7 (70.5-84.8),0.57 (0.52-0.62),0.70 (0.64-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (H),82.6 (77.4-87.8),70.0 (62.1-77.9),0.58 (0.53-0.63),0.70 (0.64-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
finetuned-gpt-oss-20b (L),86.5 (81.1-90.5),,0.60 (0.55-0.65),0.62 (0.56-0.69),Alhusain,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,GPT-5,o4-mini,DeepSeek-R1,gpt-oss-20b (L),gpt-oss-20b (M),gpt-oss-20b (H),gpt-oss-120b (L),gpt-oss-120b (M),gpt-oss-120b (H),finetuned-gpt-oss-20b (M),,,,,,,,,,,,,,,,
Musculoskeletal system,87.2 (74.8-94.0),85.1 (72.3-92.6),87.2 (74.8-94.0),80.9 (67.5-89.6),85.1 (72.3-92.6),87.2 (74.8-94.0),89.4 (77.4-95.4),83.0 (69.9-91.1),85.1 (72.3-92.6),91.5 (80.1-96.6),,,,,,,,,,,,,,,,
Cardiovascular,83.3 (43.6-97.0),83.3 (43.6-97.0),66.7 (30.0-90.3),50.0 (18.8-81.2),50.0 (18.8-81.2),50.0 (18.8-81.2),66.7 (30.0-90.3),66.7 (30.0-90.3),66.7 (30.0-90.3),83.3 (43.6-97.0),,,,,,,,,,,,,,,,
Abdominal imaging,94.4 (81.9-98.5),83.3 (43.6-97.0),75.0 (58.9-86.2),63.9 (47.6-77.5),66.7 (50.3-79.8),80.6 (65.0-90.2),86.1 (71.3-93.9),83.3 (68.1-92.1),83.3 (68.1-92.1),86.1 (71.3-93.9),,,,,,,,,,,,,,,,
Uroradiology & genital male imaging,100.0 (72.2-100.0),86.1 (71.3-93.9),100.0 (72.2-100.0),80.0 (49.0-94.3),90.0 (59.6-98.2),100.0 (72.2-100.0),90.0 (59.6-98.2),100.0 (72.2-100.0),90.0 (59.6-98.2),100.0 (72.2-100.0),,,,,,,,,,,,,,,,
Neuroradiology,85.4 (71.6-93.1),82.9 (68.7-91.5),85.4 (71.6-93.1),82.9 (68.7-91.5),82.9 (68.7-91.5),85.4 (71.6-93.1),82.9 (68.7-91.5),80.5 (66.0-89.8),85.4 (71.6-93.1),87.8 (74.5-94.7),,,,,,,,,,,,,,,,
Paediatric radiology,83.3 (66.4-92.7),76.7 (59.1-88.2),73.3 (55.6-85.8),73.3 (55.6-85.8),76.7 (59.1-88.2),70.0 (52.1-83.3),76.7 (59.1-88.2),73.3 (55.6-85.8),80.0 (62.7-90.5),73.3 (55.6-85.8),,,,,,,,,,,,,,,,
Head & neck imaging,100.0 (77.2-100.0),100.0 (77.2-100.0),84.6 (57.8-95.7),84.6 (57.8-95.7),84.6 (57.8-95.7),92.3 (66.7-98.6),100.0 (77.2-100.0),76.9 (49.7-91.8),92.3 (66.7-98.6),92.3 (66.7-98.6),,,,,,,,,,,,,,,,
Breast imaging,100.0 (56.6-100.0),80.0 (37.6-96.4),80.0 (37.6-96.4),40.0 (11.8-76.9),40.0 (11.8-76.9),40.0 (11.8-76.9),60.0 (23.1-88.2),60.0 (23.1-88.2),60.0 (23.1-88.2),80.0 (37.6-96.4),,,,,,,,,,,,,,,,
Chest imaging,90.9 (62.3-98.4),81.8 (52.3-94.9),81.8 (52.3-94.9),72.7 (43.4-90.3),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),81.8 (52.3-94.9),90.9 (62.3-98.4),,,,,,,,,,,,,,,,
Others,75.0 (40.9-92.9),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),62.5 (30.6-86.3),62.5 (30.6-86.3),75.0 (40.9-92.9),75.0 (40.9-92.9),62.5 (30.6-86.3),75.0 (40.9-92.9),,,,,,,,,,,,,,,,
Micro Average SC w/ Wilson,88.9 (83.9-92.5),84.1 (78.5-88.4),81.6 (75.8-86.3),74.4 (68.0-79.9),77.3 (71.1-82.5),80.7 (74.8-85.5),84.1 (78.5-88.4),80.2 (74.2-85.1),82.6 (76.9-87.2),86.5 (81.1-90.5),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"eurorad, 3x maj",,,,,,,,,,,,,,,,,,,,,,,,,,
p values,GPT-5,GPT-o4-mini,DeepSeek-R1,gpt-oss-20b (L),gpt-oss-20b (M),gpt-oss-20b (H),gpt-oss-120b (L),gpt-oss-120b (M),gpt-oss-120b (H),,,,,,,,,,,,,,,,,
GPT-5,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-o4-mini,0.00937483529370886,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1,0.005110381279058274,0.42371066732983453,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (L),1.3444525168715415e-06,0.0011202567942125707,0.014806111336774563,,,,,,,,,,,,,,,,,,,,,,,
