IQR,,,,"GPT-5.1, Gemini, Gpt-5mini, deepseek, gpt-oss, qwen 9b, 27b, 35b",,,,,,,,,,
,,,,,,,,,,,,,,
Column 1,Gynecology,Internal Medicine,Neurology,Pediatrics,Surgery,Total,,Column 1,Gynecology,Internal Medicine,Neurology,Pediatrics,Surgery,Total
Treatment,,,,,,,,Diagnosis,,,,,,
GPT-5.1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,GPT-5.1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
Gemini3.1 Pro,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,Gemini3.1 Pro,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
GPT-5-mini,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,GPT-5.1-mini,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
DeepSeek-R1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,DeepSeek-R1,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-20b (L),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-20b (L),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-20b (M),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-20b (M),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-20b (H),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-20b (H),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-120b (L),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-120b (L),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-120b (M),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-120b (M),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
gpt-oss-120b (H),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,gpt-oss-120b (H),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
qwen3.5 9B,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,qwen3.5 9B,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
qwen3.5 27B,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,qwen3.5 27B,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...
