Models,Eurorad-Accuracy w/ CI,Ophthalmology Accuracy w/ CI,NMED Treatment MEDIAN (SC) + 95% CI,NMED Diagnosis MEDIAN (SC) + 95% CI,admin,,,,,,,,,,,,,,,,,,,,,
GPT-5,88.9 (83.9-92.5),73.8 (66.3-81.4),0.67 (0.61-0.73),0.72 (0.67-0.78),Alif,,,,,,,,,,,,,,,,,,,,,
GPT-o4-mini,84.1 (78.5-88.4),71.5 (63.8-79.3),0.60 (0.55-0.66),1.19 (1.11-1.26),Alif,,,"MAE: 91.3%, interquartile range (IQR): 81.2–95.1%)",,,,,,,,,,,,,,,,,,
DeepSeek-R1,81.6 (75.8-86.3),79.2 (72.3-86.2),0.56 (0.51-0.60),0.58 (0.53-0.62),Alif,,,0.69 (95% CI 0.63–0.74),0.63 (95% CI 0.58–0.69),0.57 (95% CI 0.52–0.62),0.77 (95% CI 0.71–0.83),0.77 (95% CI 0.71–0.83),0.76 (95% CI 0.70–0.83),0.76 (95% CI 0.69–0.83),0.79 (95% CI 0.72–0.86),0.76 (95% CI 0.69–0.83),,,,,,,,,,
gpt-oss-20b (L),74.4 (68.0-79.9),59.2 (50.8-67.7),0.58 (0.53-0.63),0.64 (0.58-0.70),Alif,,,0.77 (95% CI 0.71–0.82),1.18 (95% CI 1.10–1.26),0.64 (95% CI 0.59–0.69),0.69 (95% CI 0.63–0.75),0.69 (95% CI 0.63–0.75),0.70 (95% CI 0.64–0.76),0.75 (95% CI 0.68–0.81),0.73 (95% CI 0.66–0.80),0.73 (95% CI 0.66–0.79),,,,,,,,,,
gpt-oss-20b (M),77.3 (71.1-82.5),63.8 (55.6-72.1),0.59 (0.54-0.64),0.67 (0.61-0.73),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (H),80.7 (74.8-85.5),66.2 (58.0-74.3),0.58 (0.53-0.63),0.65 (0.59-0.71),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (L),84.1 (78.5-88.4),73.1 (65.5-80.7),,0.70 (0.63-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (M),80.2 (74.2-85.1),77.7 (70.5-84.8),0.57 (0.52-0.62),0.70 (0.64-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (H),82.6 (76.9-87.2),70.0 (62.1-77.9),0.58 (0.53-0.63),0.70 (0.64-0.77),Alif,,,,,,,,,,,,,,,,,,,,,
finetuned-gpt-oss-20b (L),86.5 (81.1-90.5),,0.60 (0.55-0.65),0.62 (0.56-0.69),Alhusain,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"eurorad, 3x maj",,,,,,,,,,,,,,,,,,,,,,,,,,
p values,GPT-5,GPT-o4-mini,DeepSeek-R1,gpt-oss-20b (L),gpt-oss-20b (M),gpt-oss-20b (H),gpt-oss-120b (L),gpt-oss-120b (M),gpt-oss-120b (H),,,,,,,,,,,,,,,,,
GPT-5,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-o4-mini,Loading...,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1,Loading...,Loading...,,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (L),Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (M),Loading...,Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,,,,,
gpt-oss-20b (H),Loading...,Loading...,Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (L),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (M),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,,
gpt-oss-120b (H),Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,Loading...,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"ophth, 3x maj",,,,,,,,,,,,,,,,,,,,,,,,,,
p values,GPT-5,GPT-o4-mini,DeepSeek-R1,gpt-oss-20b (L),gpt-oss-20b (M),gpt-oss-20b (H),gpt-oss-120b (L),gpt-oss-120b (M),gpt-oss-120b (H),,,,,,,,,,,,,,,,,
GPT-5,,,,,,,,,,,,,,,,,,,,,,,,,,
