dataset,analysis,metric,model_1,model_2,category,value,ci_lo,ci_hi,p_raw,p_adj,significant,effect_size,n,k
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Overall,89.372,84.4331,92.8761,,,,,207,185
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Musculoskeletal system,87.234,74.8258,94.0155,,,,,47,41
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Paediatric radiology,86.6667,70.3183,94.6904,,,,,30,26
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Cardiovascular,100.0,60.9657,100.0,,,,,6,6
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Abdominal imaging,88.8889,74.6849,95.5934,,,,,36,32
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Head & neck imaging,100.0,77.1898,100.0,,,,,13,13
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Neuroradiology,87.8049,74.4555,94.6767,,,,,41,36
Eurorad,accuracy,accuracy_pct,GPT-5.1,,Chest imaging,90.9091,62.2635,98.3768,,,,,11,10
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Overall,84.5411,78.9915,88.8319,,,,,207,175
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Musculoskeletal system,82.9787,69.8599,91.1137,,,,,47,39
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Paediatric radiology,80.0,62.694,90.495,,,,,30,24
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Cardiovascular,83.3333,43.6491,96.9947,,,,,6,5
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Abdominal imaging,88.8889,74.6849,95.5934,,,,,36,32
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Uroradiology & genital male imaging,90.0,59.5844,98.2124,,,,,10,9
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Breast imaging,80.0,37.5528,96.3777,,,,,5,4
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Head & neck imaging,100.0,77.1898,100.0,,,,,13,13
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Neuroradiology,82.9268,68.7371,91.4749,,,,,41,34
Eurorad,accuracy,accuracy_pct,GPT-5-mini,,Chest imaging,81.8182,52.3014,94.8633,,,,,11,9
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Overall,91.7874,87.2426,94.8095,,,,,207,190
